City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Port Blair,IN,82.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1,Chuy,UY,58.3,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
2,Tuktoyaktuk,CA,59.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
3,Tooele,US,88.45,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
4,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Port Alfred,ZA,50.11,scattered clouds,-33.5906,26.891,The Halyards Hotel
8,Albany,US,62.92,clear sky,42.6001,-73.9662,
9,Bethel,US,69.58,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
10,Half Moon Bay,US,78.75,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
11,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
12,Zhaotong,CN,70.11,overcast clouds,27.3167,103.7167,Jingguan Home
13,Atuona,PF,77.43,scattered clouds,-9.8,-139.0333,Villa Enata
14,Medicine Hat,CA,81.03,smoke,50.0501,-110.6683,Sun Dek Motel
15,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Victoria,HK,92.97,clear sky,22.2855,114.1577,Mini Hotel Central
17,Constitucion,CL,51.71,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
19,Nikolskoye,RU,56.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
20,Butaritari,KI,83.59,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Bambous Virieux,MU,68.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
22,Vieques,PR,82.9,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
23,Pundaguitan,PH,84.94,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
24,Castro,BR,50.13,clear sky,-24.7911,-50.0119,CHACARA BAILLY
25,Lakes Entrance,AU,61.18,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
26,Santa Barbara,US,73.35,clear sky,34.7333,-120.0343,Upper Ballard Campground
27,Riyadh,SA,86.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
29,Murupara,NZ,57.56,scattered clouds,-38.4667,176.7,Murupara Motor Camp
30,Rabak,SD,77.92,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
32,Rikitea,PF,70.21,clear sky,-23.1203,-134.9692,People ThankYou
34,Arraial Do Cabo,BR,68.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
36,Ginda,IN,74.55,few clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
37,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Key West,US,86.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
40,Caravelas,BR,69.66,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
41,Sierra Vista,US,73.27,broken clouds,31.5545,-110.3037,Gateway Studio Suites
42,Verkhnevilyuysk,RU,73.54,overcast clouds,63.4453,120.3167,Gostinitsa Mila
43,Amapa,BR,69.84,scattered clouds,1.0,-52.0,
44,Muros,ES,65.23,few clouds,42.7762,-9.0603,Apartment Av. Castelao
45,Roebourne,AU,79.25,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
46,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
47,Mindelo,CV,74.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
48,Santa Vitoria Do Palmar,BR,58.64,clear sky,-33.5189,-53.3681,Hostel Comodoro
49,Bluff,NZ,55.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
50,Lata,PT,60.82,scattered clouds,40.1629,-8.3327,Casa Maquia
51,Northam,GB,63.3,light rain,51.0333,-4.2167,Durrant House Hotel
52,Hithadhoo,MV,81.07,broken clouds,-0.6,73.0833,Scoop Guest House
54,Kutum,SD,72.12,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
55,Suez,EG,72.39,clear sky,29.9737,32.5263,Green House
56,Ginir,ET,56.64,overcast clouds,7.1333,40.7,Sura Dare Village
58,Yellowknife,CA,64.33,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
59,Pierre,US,81.86,overcast clouds,44.3683,-100.351,Ramkota Hotel
60,Mitsamiouli,KM,76.84,clear sky,-11.3847,43.2844,Foyer ADM
61,San Vicente De Canete,PE,61.77,broken clouds,-13.0751,-76.3835,Hotel Konford
62,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Muncar,ID,83.17,clear sky,-8.4333,114.3333,Zaky Homestay
64,San Rafael Del Sur,NI,83.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
65,Torbay,CA,57.76,overcast clouds,47.6666,-52.7314,Gallows Cove
67,East London,ZA,52.29,overcast clouds,-33.0153,27.9116,Tu Casa
68,Matay,EG,76.37,clear sky,28.419,30.7792,Nag Aespen
70,Westport,US,73.85,scattered clouds,41.1415,-73.3579,The Westport Inn
71,Busselton,AU,58.08,overcast clouds,-33.65,115.3333,Observatory Guest House
72,Port Hardy,CA,60.98,light rain,50.6996,-127.4199,Airport Inn
73,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
74,Sioux Lookout,CA,77.38,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
75,Itatskiy,RU,69.39,broken clouds,56.07,89.0369,
77,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
78,Balakovo,RU,65.12,clear sky,52.0278,47.8007,Victoria Hotel
79,Mataura,NZ,55.47,few clouds,-46.1927,168.8643,Ellie's Villa
81,Souillac,MU,68.36,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
82,Avera,US,81.72,clear sky,33.194,-82.5271,
84,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
85,Aklavik,CA,67.03,scattered clouds,68.2191,-135.0107,Aklavik Inn
86,Buriti Bravo,BR,69.75,clear sky,-5.8372,-43.8336,Hotel Fazenda
88,Kodinsk,RU,79.95,clear sky,58.6881,99.1844,
89,Khatanga,RU,58.77,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
90,Maragogi,BR,74.01,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
92,Dubai,AE,98.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
94,Ayorou,NE,81.46,overcast clouds,14.7308,0.9174,Hotel Amenokal
95,Hollins,US,73.44,few clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
96,Cascais,PT,64.62,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
97,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
98,Sisophon,KH,78.53,moderate rain,13.5859,102.9737,Pyramid Hotel
99,Oga,IT,58.69,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
100,Novosil,RU,56.93,scattered clouds,52.9739,37.0405,
102,Nueva Guinea,NI,74.35,light rain,11.6876,-84.4562,Posadita La Reyna
103,Effingham,US,82.29,few clouds,32.3669,-81.3332,Countryside Village
104,Chumikan,RU,62.01,overcast clouds,54.7183,135.315,Fortuna
106,Jamestown,US,65.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
107,Hearst,CA,73.65,overcast clouds,49.6835,-83.6665,Companion
108,Ewa Beach,US,83.98,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
109,Quatre Cocos,MU,68.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
110,Oktyabrskiy,RU,66.47,broken clouds,54.4815,53.471,Уязы-Тау гостиница
111,Cabo San Lucas,MX,92.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
112,Esperance,AU,55.24,light rain,-33.8667,121.9,Hospitality Esperance
113,Laguna,US,98.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
115,Seda,LV,52.32,clear sky,57.65,25.75,Nakts mājas
116,Beyneu,KZ,83.8,clear sky,45.3167,55.2,NUR
118,Freetown,SL,74.93,heavy intensity rain,8.484,-13.2299,The Country Lodge Hotel
119,Usinsk,RU,54.19,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
120,Lompoc,US,72.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
121,Eganville,CA,69.35,clear sky,45.5334,-77.0994,Egan Inn
122,Kidal,ML,87.8,overcast clouds,18.4411,1.4078,
123,Filingue,NE,82.96,overcast clouds,14.3521,3.3168,
124,Moerai,PF,72.34,overcast clouds,-22.4333,-151.3333,Le Manotel
125,Mahebourg,MU,68.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Mar Del Plata,AR,51.13,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
128,Namibe,AO,64.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
129,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
130,Kavieng,PG,84.96,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
131,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
132,Kushmurun,KZ,75.31,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
133,Vostok,RU,90.88,overcast clouds,46.4856,135.8833,
134,New Norfolk,AU,54.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
135,Norman Wells,CA,60.84,overcast clouds,65.282,-126.8329,Heritage Hotel
137,Kargil,IN,62.73,few clouds,34.5667,76.1,Caravan Sarai
138,Fairbanks,US,72.1,moderate rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
140,Turukhansk,RU,76.68,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
141,Sitka,US,54.46,moderate rain,57.0531,-135.33,Westmark Sitka
142,Saint George,US,88.39,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
143,Kondinskoye,RU,63.52,overcast clouds,59.6481,67.41,Gostinitsa
144,Carnarvon,AU,64.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
145,Tilichiki,RU,59.45,overcast clouds,60.4667,166.1,
146,Auki,SB,83.39,scattered clouds,-8.7676,160.7034,Auki Motel
147,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
149,Moron,AR,62.98,overcast clouds,-34.6534,-58.6198,Hotel Morón
150,Portland,US,83.57,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
151,Fortuna,US,60.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
152,Mandalgovi,MN,71.64,light rain,45.7625,106.2708,В.Ганбат
153,La Ronge,CA,64.65,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
154,Tateyama,JP,90.14,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
156,Yulara,AU,62.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
158,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
159,Lexington,US,71.89,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
160,Kentau,KZ,92.26,clear sky,43.5206,68.5094,Safary
161,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
162,Kyra,RU,70.66,scattered clouds,49.5776,111.9753,
163,Saint Anthony,US,86.25,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
164,Nemuro,JP,81.03,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
165,Kiunga,PG,77.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
166,Deputatskiy,RU,63.39,overcast clouds,69.3,139.9,Baza Otdykha
167,Gravdal,NO,52.02,light rain,68.1214,13.5031,Skreda Rorbusuiter
168,Valley City,US,84.72,scattered clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
169,Airai,TL,77.32,broken clouds,-8.9266,125.4092,Juvinal Martin
170,Shushtar,IR,96.51,clear sky,32.0455,48.8567,چاپ یاس کبود
171,Puerto Escondido,MX,81.95,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
172,Ndele,CF,68.16,light rain,8.4109,20.6473,
173,Saskylakh,RU,56.95,overcast clouds,71.9167,114.0833,
174,Gold Coast,AU,72.34,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
175,Cleburne,US,87.82,clear sky,32.3476,-97.3867,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
176,Saquarema,BR,68.02,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
177,Peniche,PT,64.72,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
178,Omboue,GA,72.59,overcast clouds,-1.5746,9.2618,Hotel Olako
179,Qingdao,CN,91.0,scattered clouds,36.0986,120.3719,东晖国际大酒店餐厅
180,Newport,GB,63.09,light rain,51.5877,-2.9984,ibis budget Newport
181,Bonnyville,CA,71.4,scattered clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
182,Ascope,PE,64.99,broken clouds,-7.7144,-79.1078,agroindustrial casagrande
183,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
184,Hvolsvollur,IS,53.82,light rain,63.7533,-20.2243,Hotel Rangá
185,Bengkulu,ID,83.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
186,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
188,Nortelandia,BR,71.87,clear sky,-14.4547,-56.8028,Hotel Karysmã
189,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
190,Pallasovka,RU,68.16,clear sky,50.05,46.8833,"Hotel ""Natalia"""
191,Mut,TR,72.77,clear sky,36.6439,33.4389,Konak Otel
192,Miraflores,MX,66.87,scattered clouds,19.2167,-98.8083,Hotel Mansión
193,Touros,BR,74.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
194,El Alto,PE,62.94,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
195,Faya,SA,61.32,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
197,Florida,US,78.01,broken clouds,28.7505,-82.5001,Sportsmens Cove
198,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
199,Broken Hill,AU,55.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
200,Ibra,OM,85.08,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
201,Udarnyy,RU,56.05,clear sky,54.3409,42.8611,
202,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
204,Sovetskiy,RU,59.41,scattered clouds,61.3614,63.5842,Apartment on Kievskaya 29
205,Muswellbrook,AU,52.99,broken clouds,-32.2667,150.9,Wayfarer Motel
206,Matagami,CA,59.11,clear sky,49.7502,-77.6328,Hôtel Matagami
207,Cidreira,BR,59.85,clear sky,-30.1811,-50.2056,Hotel Castelo
208,Krasnoselkup,RU,63.39,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
209,Sao Filipe,CV,73.71,few clouds,14.8961,-24.4956,Hotel Xaguate
210,Kulu,TR,62.42,clear sky,39.0951,33.0799,Kapadokya Motel
211,Flinders,AU,63.21,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
212,Grindavik,IS,55.9,drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
213,Gat,IL,77.68,broken clouds,31.61,34.7642,OlusHome
214,Codrington,AU,52.61,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
215,Namatanai,PG,84.61,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
217,Challans,FR,64.96,scattered clouds,46.8436,-1.8749,Citotel Le Challans
218,Kodiak,US,51.49,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
220,Sao Joao Da Barra,BR,67.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
221,Beringovskiy,RU,52.68,overcast clouds,63.05,179.3167,Beringgorski
222,Gazanjyk,TM,85.89,clear sky,39.2446,55.5154,Railway motel
224,Bukama,CD,67.96,scattered clouds,-9.2,25.85,
225,Sur,OM,89.6,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
226,Quetta,PK,78.35,broken clouds,30.199,67.0097,Hotel Deluxe
227,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
228,Wiang Sa,TH,90.66,overcast clouds,8.6359,99.3666,ชำนาญอินน์
229,Miura,JP,92.14,clear sky,35.14,139.6192,Sun Port Misaki
230,Isla Aguada,MX,82.69,overcast clouds,18.7833,-91.4667,Freedom Shores
231,Ojinaga,MX,90.55,clear sky,29.5667,-104.4167,Suites Las Palmas
232,Pemangkat,ID,85.68,broken clouds,1.1667,108.9667,Ramah Kost KITA
233,Volokonovka,RU,63.93,broken clouds,50.4827,37.8563,Gostievoi dom v Volokonovkie na Iesienina
235,Beipiao,CN,87.64,clear sky,41.7919,120.7792,Beipiao Hotel
236,Nabire,ID,78.76,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
237,Nakhon Phanom,TH,78.48,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
239,Balsas,BR,74.08,clear sky,-7.5325,-46.0356,Novo Hotel
240,Nadym,RU,58.53,overcast clouds,65.5333,72.5167,Apartment on Zvereva
241,Corcoran,US,97.41,clear sky,36.098,-119.5604,Budget Inn Motel Corcoran
242,Hofn,IS,53.4,overcast clouds,64.2539,-15.2082,Hótel Höfn
243,Flagstaff,US,59.79,moderate rain,35.1981,-111.6513,Drury Inn & Suites Flagstaff
244,Nantucket,US,68.97,clear sky,41.2835,-70.0995,Jared Coffin House
245,Qandala,SO,89.29,overcast clouds,11.472,49.8728,
246,Homer,US,64.08,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
247,Algodones,MX,82.94,scattered clouds,20.3888,-105.4773,
248,Coahuayana,MX,79.63,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
249,Linhares,BR,66.0,overcast clouds,-19.3911,-40.0722,Hotel Conceição
250,Ballina,AU,71.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
251,Termoli,IT,77.27,clear sky,41.9888,14.9895,Hotel Mistral
252,Zielona Gora,PL,63.97,scattered clouds,51.9355,15.5064,Ruben Hotel
253,Dawei,MM,77.95,light rain,14.0833,98.2,Hotel Dawei
254,Miranda,CO,69.93,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
255,Ust-Uda,RU,71.67,clear sky,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
256,Boguchany,RU,79.5,clear sky,58.3814,97.4531,Uyut
257,Katsuura,JP,87.91,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
258,Nishihara,JP,82.06,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
259,Lazaro Cardenas,MX,81.36,overcast clouds,17.9583,-102.2,quinta antigua
260,Mae Hong Son,TH,80.74,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
261,Xingtai,CN,84.6,light rain,37.0631,114.4942,Xingzhou Hotel
262,Faanui,PF,78.13,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
263,Trat,TH,84.4,overcast clouds,12.5,102.5,สวนหนิง-อัศ
264,Te Anau,NZ,51.37,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
265,Alice Springs,AU,62.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
266,Sao Felix Do Xingu,BR,70.99,broken clouds,-6.6447,-51.995,Rio Xingu Camping
267,Awbari,LY,76.71,clear sky,26.5921,12.7805,فندق أوباري
268,Bouillante,GP,78.03,broken clouds,16.1304,-61.7692,Gîtes Dardanelle
270,Tigil,RU,62.78,overcast clouds,57.8,158.6667,Tigil'
271,Richards Bay,ZA,55.89,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
272,Thompson,CA,62.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
273,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
274,Shenzhen,CN,91.22,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
275,Marawi,PH,83.79,light rain,7.9986,124.2928,Derogongan Residence
276,Kasangulu,CD,67.08,broken clouds,-4.5911,15.1708,Hôtel le Relais
277,Eseka,CM,70.3,overcast clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
278,Dunedin,NZ,52.81,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
279,San Francisco De Macoris,DO,80.6,clear sky,19.2952,-70.2554,Hotel Las Caobas
280,Warrnambool,AU,52.81,scattered clouds,-38.3833,142.4833,Lady Bay Resort
282,Waipawa,NZ,56.03,clear sky,-41.4122,175.5153,Tora Coastal Walk
283,San Quintin,MX,69.51,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
284,Poum,NC,74.37,clear sky,-20.2333,164.0167,Gîte kajeon
285,Dukat,RU,50.34,overcast clouds,62.55,155.55,
286,Batagay-Alyta,RU,72.82,few clouds,67.8006,130.4114,
287,Tazovskiy,RU,50.92,overcast clouds,67.4667,78.7,TazHostel
288,Leh,IN,66.07,few clouds,34.1667,77.5833,Hotel Ladakh Greens
289,Morehead,US,76.14,clear sky,37.2711,-87.1764,CCI Express Inn
290,Tecolutla,MX,79.9,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
291,Petropavlovsk-Kamchatskiy,RU,70.39,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
292,Ribeira Grande,PT,70.92,broken clouds,38.5167,-28.7,Quinta da Meia Eira
293,Paraopeba,BR,61.95,clear sky,-19.2757,-44.4033,HC Hotel Paraopeba
294,Cherskiy,RU,53.15,overcast clouds,68.75,161.3,Gostinitsa
296,Buta,CD,68.9,light rain,2.7858,24.73,HOTEL BISO NA BISO
297,Blyth,GB,61.36,overcast clouds,55.1271,-1.5086,Carlton house
298,Noyabrsk,RU,58.77,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
300,Revda,RU,56.21,overcast clouds,56.801,59.9303,Metallurg
301,Paka,MY,82.33,light rain,4.6374,103.4368,RUMBIA RESORT VILLA
302,Hudson Bay,CA,71.6,broken clouds,52.85,-102.3842,Norwood Motel LTD
303,Sarab,IR,75.07,clear sky,38.6066,44.9883,مسجد امام رضا
304,Adrar,MR,87.85,broken clouds,20.5022,-10.0711,
305,Goderich,CA,68.32,overcast clouds,43.7501,-81.7165,Harmony Inn
306,Kardla,EE,58.48,clear sky,58.9978,22.7492,Padu hotel
307,Kushima,JP,86.04,overcast clouds,31.4583,131.2333,Hanaoka
308,Lasa,IT,65.28,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
309,Tramore,IE,64.63,overcast clouds,52.1624,-7.1524,Majestic Hotel
310,Marrakesh,MA,84.27,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
311,Zhigansk,RU,73.81,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
312,Formosa,AR,64.38,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
313,Plouzane,FR,61.12,overcast clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
314,Salalah,OM,77.5,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
316,Belaya Gora,RU,67.93,broken clouds,68.5333,146.4167,
317,Elliot Lake,CA,64.49,overcast clouds,46.3834,-82.6331,Paris Plaza
318,Spirovo,RU,53.98,overcast clouds,57.419,34.9766,
319,Alenquer,BR,75.54,broken clouds,-1.9417,-54.7383,Josilene Castro
321,Provideniya,RU,54.63,overcast clouds,64.3833,-173.3,
322,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
323,Maryville,US,79.0,clear sky,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
324,Harper,LR,74.62,overcast clouds,4.375,-7.7169,Screensaver
325,Loanda,AO,69.8,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
326,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
327,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
328,Aksarka,RU,57.15,scattered clouds,66.5606,67.7975,
329,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
330,Coquimbo,CL,53.33,overcast clouds,-29.9533,-71.3436,Punto de encuentro
331,Abu Zabad,SD,79.54,overcast clouds,12.35,29.25,حامد محمد نور
332,Christchurch,NZ,53.01,clear sky,-43.5333,172.6333,The George
334,Bambanglipuro,ID,82.72,few clouds,-7.95,110.2833,Puri Brata
335,Dong Xoai,VN,79.16,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
336,Bandarbeyla,SO,78.6,scattered clouds,9.4942,50.8122,JABIR HOTEL
